local_date_dt,phase_id,phase_label,high_hr_share_pct,sleep_duration_hours,episode_minutes,overload_event_count,overload_severity_sum,local_date,norm_high_hr_share_pct,norm_sleep_duration_hours,norm_episode_minutes
2025-07-01,P1,Early Destabilization,15.125353560148527,5.163888888888889,165.28571428571428,1.0,1.0,2025-07-01,0.5442474460621445,0.0,0.2751004016064256
2025-07-08,P1,Early Destabilization,12.494438326679226,8.41904761904762,254.42857142857142,1.0,2.0,2025-07-08,0.35182521385794296,1.0,0.901606425702811
2025-07-15,P1,Early Destabilization,9.030216621312224,7.2821428571428575,160.28571428571428,1.0,3.0,2025-07-15,0.09845586735948143,0.6507375350481531,0.23995983935742965
2025-07-22,P1,Early Destabilization,9.097209910170827,8.004761904761905,154.0,1.0,2.0,2025-07-22,0.10335568245837928,0.8727294892112641,0.19578313253012047
2025-07-29,P1,Early Destabilization,8.466424948061274,7.788095238095238,145.28571428571428,3.0,9.0,2025-07-29,0.05722076754137263,0.8061684749481896,0.13453815261044172
2025-08-05,P1,Early Destabilization,10.329194243186793,8.171428571428573,212.0,2.0,5.0,2025-08-05,0.1934616548529865,0.9239302694136294,0.6034136546184738
2025-08-12,P1,Early Destabilization,21.356683085393804,6.205555555555556,232.71428571428572,0.0,0.0,2025-08-12,1.0,0.32000487626478125,0.748995983935743
2025-08-19,P1,Early Destabilization,12.234943983054052,6.038095238095238,223.0,2.0,4.0,2025-08-19,0.33284608438638036,0.26856028282335725,0.680722891566265
2025-08-26,P1,Early Destabilization,12.139542778353247,7.186904761904762,200.0,0.0,0.0,2025-08-26,0.3258685457222815,0.6214799463610873,0.5190763052208834
2025-09-02,P2,Dense Accumulation,11.160990069508202,7.089285714285714,191.14285714285714,1.0,2.0,2025-09-02,0.2542982821995252,0.591490917956845,0.4568273092369477
2025-09-09,P2,Dense Accumulation,13.427097298445418,6.892857142857143,239.0,0.0,0.0,2025-09-09,0.4200388601774681,0.5311471412897721,0.7931726907630521
2025-09-16,P2,Dense Accumulation,14.742684105413602,7.672222222222222,207.28571428571428,2.0,5.0,2025-09-16,0.5162594251104545,0.7705717420455929,0.5702811244979918
2025-09-23,P2,Dense Accumulation,7.68406738328859,7.747222222222223,126.14285714285714,0.0,0.0,2025-09-23,0.0,0.7936120931366574,0.0
2025-09-30,P2,Dense Accumulation,10.789517089235394,7.902380952380952,214.42857142857142,0.0,0.0,2025-09-30,0.22712915901444145,0.8412775813726683,0.6204819277108432
2025-10-07,P2,Dense Accumulation,10.206774057489838,7.942857142857143,196.71428571428572,2.0,4.0,2025-10-07,0.18450797778312594,0.8537120565646714,0.4959839357429719
2025-10-14,P2,Dense Accumulation,15.516710492286089,5.977777777777778,186.57142857142858,1.0,3.0,2025-10-14,0.5728708595087246,0.25003047665488237,0.42469879518072295
2025-10-21,P3,Threshold Crisis,13.2249437523013,7.545238095238096,268.42857142857144,0.0,0.0,2025-10-21,0.4052535732544259,0.7315616237961723,1.0
2025-10-28,P3,Threshold Crisis,12.085307849786206,7.814285714285715,246.28571428571428,0.0,0.0,2025-10-28,0.32190186299319035,0.8142143118371329,0.8443775100401605
2025-11-04,P4,Salvage Concentration,12.577149442964735,7.6,214.14285714285714,3.0,11.0,2025-11-04,0.3578746134818038,0.7483847372912348,0.6184738955823292
2025-11-11,P4,Salvage Concentration,17.97148924040001,7.169444444444444,249.14285714285714,2.0,7.0,2025-11-11,0.752410663859106,0.6161160551017919,0.8644578313253011
2025-11-18,P4,Salvage Concentration,15.87474161126029,7.355555555555555,164.85714285714286,3.0,5.0,2025-11-18,0.5990568598158257,0.6732902596610995,0.2720883534136546
2025-11-25,P4,Salvage Concentration,13.410132946495116,6.047619047619048,208.85714285714286,2.0,8.0,2025-11-25,0.4187981062266576,0.2714860416920641,0.5813253012048193
2025-12-02,P5,Terminal Push,18.519456034177715,6.530555555555556,203.85714285714286,0.0,0.0,2025-12-02,0.792488349483908,0.419846397659393,0.5461847389558233
2025-12-09,P6,Afterimage,11.288847153866103,7.852380952380953,223.0,2.0,5.0,2025-12-09,0.2636496080279996,0.8259173473119591,0.680722891566265
2025-12-16,P6,Afterimage,11.377167464537477,6.364285714285714,207.85714285714286,0.0,0.0,2025-12-16,0.27010925792935503,0.3687675240765572,0.57429718875502
2025-12-23,P6,Afterimage,13.37104905760628,7.096428571428571,242.85714285714286,1.0,3.0,2025-12-23,0.41593955379306446,0.5936852371083747,0.820281124497992
2025-12-30,P6,Afterimage,12.871539345014703,8.133333333333333,209.5,1.0,1.0,2025-12-30,0.3794059655262147,0.9122272339388027,0.5858433734939759
